Navn;Stasjon;Tid(norsk normaltid);Nedbør (mnd)
Lillehammer - Sætherengen;SN12680;02.2000;19,1
Lillehammer - Sætherengen;SN12680;03.2000;24,9
Lillehammer - Sætherengen;SN12680;04.2000;61,7
Lillehammer - Sætherengen;SN12680;05.2000;58,3
Lillehammer - Sætherengen;SN12680;06.2000;65,9
Lillehammer - Sætherengen;SN12680;07.2000;87,1
Lillehammer - Sætherengen;SN12680;08.2000;75,8
Lillehammer - Sætherengen;SN12680;09.2000;28,5
Lillehammer - Sætherengen;SN12680;10.2000;227,5
Lillehammer - Sætherengen;SN12680;11.2000;250,2
Lillehammer - Sætherengen;SN12680;12.2000;65,1
Lillehammer - Sætherengen;SN12680;01.2001;76,6
Lillehammer - Sætherengen;SN12680;02.2001;28,6
Lillehammer - Sætherengen;SN12680;03.2001;32,3
Lillehammer - Sætherengen;SN12680;04.2001;53
Lillehammer - Sætherengen;SN12680;05.2001;31,2
Lillehammer - Sætherengen;SN12680;06.2001;45,1
Lillehammer - Sætherengen;SN12680;07.2001;63,5
Lillehammer - Sætherengen;SN12680;08.2001;100
Lillehammer - Sætherengen;SN12680;09.2001;63,8
Lillehammer - Sætherengen;SN12680;10.2001;88,6
Lillehammer - Sætherengen;SN12680;11.2001;28,2
Lillehammer - Sætherengen;SN12680;12.2001;42
Lillehammer - Sætherengen;SN12680;01.2002;48,4
Lillehammer - Sætherengen;SN12680;02.2002;42,6
Lillehammer - Sætherengen;SN12680;03.2002;26,1
Lillehammer - Sætherengen;SN12680;04.2002;27,8
Lillehammer - Sætherengen;SN12680;05.2002;126
Lillehammer - Sætherengen;SN12680;06.2002;73,7
Lillehammer - Sætherengen;SN12680;07.2002;116,3
Lillehammer - Sætherengen;SN12680;08.2002;16,4
Lillehammer - Sætherengen;SN12680;09.2002;37,2
Lillehammer - Sætherengen;SN12680;10.2002;70,2
Lillehammer - Sætherengen;SN12680;09.2003;72,9
Lillehammer - Sætherengen;SN12680;11.2003;91,2
Lillehammer - Sætherengen;SN12680;01.2006;41,8
Lillehammer - Sætherengen;SN12680;02.2006;57,9
Lillehammer - Sætherengen;SN12680;03.2006;27,8
Lillehammer - Sætherengen;SN12680;04.2006;53,4
Lillehammer - Sætherengen;SN12680;05.2006;91
Lillehammer - Sætherengen;SN12680;06.2006;24,5
Lillehammer - Sætherengen;SN12680;07.2006;40,3
Lillehammer - Sætherengen;SN12680;08.2006;115,5
Lillehammer - Sætherengen;SN12680;09.2006;54,4
Lillehammer - Sætherengen;SN12680;10.2006;146,1
Lillehammer - Sætherengen;SN12680;11.2006;116,2
Lillehammer - Sætherengen;SN12680;12.2006;61,8
Lillehammer - Sætherengen;SN12680;01.2007;76,6
Lillehammer - Sætherengen;SN12680;02.2007;49,3
Lillehammer - Sætherengen;SN12680;03.2007;29,8
Lillehammer - Sætherengen;SN12680;04.2007;15,6
Lillehammer - Sætherengen;SN12680;05.2007;66,3
Lillehammer - Sætherengen;SN12680;06.2007;71,8
Lillehammer - Sætherengen;SN12680;07.2007;94,6
Lillehammer - Sætherengen;SN12680;08.2007;114,9
Lillehammer - Sætherengen;SN12680;09.2007;53,2
Lillehammer - Sætherengen;SN12680;10.2007;25,5
Lillehammer - Sætherengen;SN12680;11.2007;48,1
Lillehammer - Sætherengen;SN12680;12.2007;68
Lillehammer - Sætherengen;SN12680;01.2008;104,2
Lillehammer - Sætherengen;SN12680;02.2008;48,5
Lillehammer - Sætherengen;SN12680;03.2008;87,5
Lillehammer - Sætherengen;SN12680;04.2008;40,8
Lillehammer - Sætherengen;SN12680;05.2008;97,9
Lillehammer - Sætherengen;SN12680;06.2008;43,7
Lillehammer - Sætherengen;SN12680;07.2008;43,2
Lillehammer - Sætherengen;SN12680;08.2008;100,8
Lillehammer - Sætherengen;SN12680;09.2008;48
Lillehammer - Sætherengen;SN12680;10.2008;62,5
Lillehammer - Sætherengen;SN12680;11.2008;67
Lillehammer - Sætherengen;SN12680;12.2008;29,4
