Navn;Stasjon;Tid(norsk normaltid);Nedbør (mnd)
Bråtå - Slettom;SN15730;01.2000;114
Bråtå - Slettom;SN15730;02.2000;71,8
Bråtå - Slettom;SN15730;03.2000;45,9
Bråtå - Slettom;SN15730;04.2000;37,7
Bråtå - Slettom;SN15730;05.2000;30,7
Bråtå - Slettom;SN15730;06.2000;111,8
Bråtå - Slettom;SN15730;07.2000;25,8
Bråtå - Slettom;SN15730;08.2000;35,7
Bråtå - Slettom;SN15730;09.2000;37,5
Bråtå - Slettom;SN15730;10.2000;27,1
Bråtå - Slettom;SN15730;11.2000;27,6
Bråtå - Slettom;SN15730;12.2000;15,9
Bråtå - Slettom;SN15730;01.2001;20,4
Bråtå - Slettom;SN15730;02.2001;28
Bråtå - Slettom;SN15730;03.2001;10,8
Bråtå - Slettom;SN15730;04.2001;28,7
Bråtå - Slettom;SN15730;05.2001;21,9
Bråtå - Slettom;SN15730;06.2001;24,2
Bråtå - Slettom;SN15730;07.2001;48,6
Bråtå - Slettom;SN15730;08.2001;48,5
Bråtå - Slettom;SN15730;09.2001;20,9
Bråtå - Slettom;SN15730;10.2001;55,8
Bråtå - Slettom;SN15730;11.2001;96,4
Bråtå - Slettom;SN15730;12.2001;25,8
Bråtå - Slettom;SN15730;01.2002;55
Bråtå - Slettom;SN15730;02.2002;68,1
Bråtå - Slettom;SN15730;03.2002;70,4
Bråtå - Slettom;SN15730;04.2002;3,2
Bråtå - Slettom;SN15730;05.2002;24,8
Bråtå - Slettom;SN15730;06.2002;21,9
Bråtå - Slettom;SN15730;07.2002;77,7
Bråtå - Slettom;SN15730;08.2002;30,1
Bråtå - Slettom;SN15730;09.2002;14,7
Bråtå - Slettom;SN15730;10.2002;43,2
Bråtå - Slettom;SN15730;11.2002;35,8
Bråtå - Slettom;SN15730;12.2002;10,3
Bråtå - Slettom;SN15730;01.2003;72,5
Bråtå - Slettom;SN15730;02.2003;6
Bråtå - Slettom;SN15730;03.2003;12,4
Bråtå - Slettom;SN15730;04.2003;9,8
Bråtå - Slettom;SN15730;05.2003;84,3
Bråtå - Slettom;SN15730;06.2003;34,2
Bråtå - Slettom;SN15730;07.2003;31,3
Bråtå - Slettom;SN15730;08.2003;63,7
Bråtå - Slettom;SN15730;09.2003;53,8
Bråtå - Slettom;SN15730;10.2003;14,3
Bråtå - Slettom;SN15730;11.2003;19,8
Bråtå - Slettom;SN15730;12.2003;110
Bråtå - Slettom;SN15730;01.2004;31,5
Bråtå - Slettom;SN15730;02.2004;59,2
Bråtå - Slettom;SN15730;03.2004;9,5
Bråtå - Slettom;SN15730;04.2004;12,8
Bråtå - Slettom;SN15730;05.2004;22,7
Bråtå - Slettom;SN15730;06.2004;50,2
Bråtå - Slettom;SN15730;07.2004;45
Bråtå - Slettom;SN15730;08.2004;30,6
Bråtå - Slettom;SN15730;09.2004;65,9
Bråtå - Slettom;SN15730;10.2004;21,5
Bråtå - Slettom;SN15730;11.2004;123,7
Bråtå - Slettom;SN15730;12.2004;69,4
Bråtå - Slettom;SN15730;01.2005;157,1
Bråtå - Slettom;SN15730;02.2005;22,4
Bråtå - Slettom;SN15730;03.2005;17,6
Bråtå - Slettom;SN15730;04.2005;27,9
Bråtå - Slettom;SN15730;05.2005;29,4
Bråtå - Slettom;SN15730;06.2005;36,2
Bråtå - Slettom;SN15730;07.2005;19,4
Bråtå - Slettom;SN15730;08.2005;75,7
Bråtå - Slettom;SN15730;09.2005;54,6
Bråtå - Slettom;SN15730;10.2005;41,5
Bråtå - Slettom;SN15730;11.2005;145
Bråtå - Slettom;SN15730;12.2005;61,4
Bråtå - Slettom;SN15730;01.2006;31,4
Bråtå - Slettom;SN15730;02.2006;34,5
Bråtå - Slettom;SN15730;03.2006;9
Bråtå - Slettom;SN15730;04.2006;10,9
Bråtå - Slettom;SN15730;05.2006;22,3
Bråtå - Slettom;SN15730;06.2006;22,6
Bråtå - Slettom;SN15730;07.2006;37,2
Bråtå - Slettom;SN15730;08.2006;54,8
Bråtå - Slettom;SN15730;09.2006;22,4
Bråtå - Slettom;SN15730;10.2006;57,8
Bråtå - Slettom;SN15730;11.2006;105,4
Bråtå - Slettom;SN15730;12.2006;85,9
Bråtå - Slettom;SN15730;01.2007;137,8
Bråtå - Slettom;SN15730;02.2007;23,5
Bråtå - Slettom;SN15730;03.2007;35,4
Bråtå - Slettom;SN15730;04.2007;23,7
Bråtå - Slettom;SN15730;05.2007;36,5
Bråtå - Slettom;SN15730;06.2007;28,2
Bråtå - Slettom;SN15730;07.2007;67,1
Bråtå - Slettom;SN15730;08.2007;51,8
Bråtå - Slettom;SN15730;09.2007;55,1
Bråtå - Slettom;SN15730;10.2007;62,5
Bråtå - Slettom;SN15730;11.2007;110,9
Bråtå - Slettom;SN15730;12.2007;53
Bråtå - Slettom;SN15730;01.2008;112,1
Bråtå - Slettom;SN15730;02.2008;70,6
Bråtå - Slettom;SN15730;03.2008;24,9
Bråtå - Slettom;SN15730;04.2008;10,9
Bråtå - Slettom;SN15730;05.2008;14,4
Bråtå - Slettom;SN15730;06.2008;44,8
Bråtå - Slettom;SN15730;07.2008;11,2
Bråtå - Slettom;SN15730;08.2008;51,4
Bråtå - Slettom;SN15730;09.2008;26,8
Bråtå - Slettom;SN15730;10.2008;107,9
Bråtå - Slettom;SN15730;11.2008;98,8
Bråtå - Slettom;SN15730;12.2008;61,7
Bråtå - Slettom;SN15730;01.2009;74,9
Bråtå - Slettom;SN15730;02.2009;31,2
Bråtå - Slettom;SN15730;03.2009;30,6
Bråtå - Slettom;SN15730;04.2009;6,3
Bråtå - Slettom;SN15730;05.2009;29,7
Bråtå - Slettom;SN15730;06.2009;23,9
Bråtå - Slettom;SN15730;07.2009;77,5
Bråtå - Slettom;SN15730;08.2009;98,8
Bråtå - Slettom;SN15730;09.2009;65,3
Bråtå - Slettom;SN15730;10.2009;25,1
Bråtå - Slettom;SN15730;11.2009;49,3
Bråtå - Slettom;SN15730;12.2009;29
Bråtå - Slettom;SN15730;01.2010;8,8
Bråtå - Slettom;SN15730;02.2010;3,8
Bråtå - Slettom;SN15730;03.2010;20,8
Bråtå - Slettom;SN15730;04.2010;16,5
Bråtå - Slettom;SN15730;05.2010;15,9
Bråtå - Slettom;SN15730;06.2010;51,1
Bråtå - Slettom;SN15730;07.2010;88,6
Bråtå - Slettom;SN15730;08.2010;80,7
Bråtå - Slettom;SN15730;09.2010;50,4
Bråtå - Slettom;SN15730;10.2010;64,9
Bråtå - Slettom;SN15730;11.2010;4,5
Bråtå - Slettom;SN15730;12.2010;18,3
Bråtå - Slettom;SN15730;01.2011;72
Bråtå - Slettom;SN15730;02.2011;26,8
Bråtå - Slettom;SN15730;03.2011;116,7
Bråtå - Slettom;SN15730;04.2011;43,7
Bråtå - Slettom;SN15730;05.2011;53,3
Bråtå - Slettom;SN15730;06.2011;58,9
Bråtå - Slettom;SN15730;07.2011;89,8
Bråtå - Slettom;SN15730;08.2011;87,2
Bråtå - Slettom;SN15730;09.2011;33,5
Bråtå - Slettom;SN15730;10.2011;63,9
Bråtå - Slettom;SN15730;11.2011;111,5
Bråtå - Slettom;SN15730;12.2011;113,2
Bråtå - Slettom;SN15730;01.2012;69,3
Bråtå - Slettom;SN15730;02.2012;35
Bråtå - Slettom;SN15730;03.2012;35,2
Bråtå - Slettom;SN15730;04.2012;31,7
Bråtå - Slettom;SN15730;05.2012;24,6
Bråtå - Slettom;SN15730;06.2012;10,8
Bråtå - Slettom;SN15730;07.2012;58
Bråtå - Slettom;SN15730;08.2012;69,4
Bråtå - Slettom;SN15730;09.2012;42,3
Bråtå - Slettom;SN15730;10.2012;53,8
Bråtå - Slettom;SN15730;11.2012;45,3
Bråtå - Slettom;SN15730;12.2012;25,3
Bråtå - Slettom;SN15730;01.2013;22,1
Bråtå - Slettom;SN15730;02.2013;12,8
Bråtå - Slettom;SN15730;03.2013;4,3
Bråtå - Slettom;SN15730;04.2013;27,6
Bråtå - Slettom;SN15730;05.2013;71,7
Bråtå - Slettom;SN15730;06.2013;73,7
Bråtå - Slettom;SN15730;07.2013;24,4
Bråtå - Slettom;SN15730;08.2013;77,4
Bråtå - Slettom;SN15730;09.2013;23,2
Bråtå - Slettom;SN15730;10.2013;50,1
Bråtå - Slettom;SN15730;11.2013;82,7
Bråtå - Slettom;SN15730;12.2013;128,7
Bråtå - Slettom;SN15730;01.2014;25,6
Bråtå - Slettom;SN15730;02.2014;38
Bråtå - Slettom;SN15730;03.2014;58,1
Bråtå - Slettom;SN15730;04.2014;10,2
Bråtå - Slettom;SN15730;05.2014;24,2
Bråtå - Slettom;SN15730;06.2014;16,8
Bråtå - Slettom;SN15730;07.2014;61,7
Bråtå - Slettom;SN15730;08.2014;38,3
Bråtå - Slettom;SN15730;09.2014;44,6
Bråtå - Slettom;SN15730;10.2014;108,6
Bråtå - Slettom;SN15730;11.2014;33,2
Bråtå - Slettom;SN15730;12.2014;74,1
Bråtå - Slettom;SN15730;01.2015;106,3
Bråtå - Slettom;SN15730;02.2015;39,9
Bråtå - Slettom;SN15730;03.2015;77,3
Bråtå - Slettom;SN15730;04.2015;26,8
Bråtå - Slettom;SN15730;05.2015;30,8
Bråtå - Slettom;SN15730;06.2015;12,5
Bråtå - Slettom;SN15730;07.2015;63,1
Bråtå - Slettom;SN15730;08.2015;29,6
Bråtå - Slettom;SN15730;09.2015;18,3
Bråtå - Slettom;SN15730;10.2015;19,7
Bråtå - Slettom;SN15730;11.2015;75,2
Bråtå - Slettom;SN15730;12.2015;116,7
Bråtå - Slettom;SN15730;01.2016;48,2
Bråtå - Slettom;SN15730;02.2016;27,3
Bråtå - Slettom;SN15730;03.2016;18,4
Bråtå - Slettom;SN15730;04.2016;10,5
Bråtå - Slettom;SN15730;05.2016;8,6
Bråtå - Slettom;SN15730;06.2016;22,9
Bråtå - Slettom;SN15730;07.2016;71,2
Bråtå - Slettom;SN15730;08.2016;84,4
Bråtå - Slettom;SN15730;09.2016;66,7
Bråtå - Slettom;SN15730;10.2016;27,2
Bråtå - Slettom;SN15730;11.2016;48,5
Bråtå - Slettom;SN15730;12.2016;132,3
Bråtå - Slettom;SN15730;01.2017;23,6
Bråtå - Slettom;SN15730;02.2017;20,6
Bråtå - Slettom;SN15730;03.2017;41,6
Bråtå - Slettom;SN15730;04.2017;26,1
Bråtå - Slettom;SN15730;05.2017;25,6
Bråtå - Slettom;SN15730;06.2017;32,4
Bråtå - Slettom;SN15730;07.2017;71,1
Bråtå - Slettom;SN15730;08.2017;61,9
Bråtå - Slettom;SN15730;09.2017;37,1
Bråtå - Slettom;SN15730;10.2017;64,8
Bråtå - Slettom;SN15730;11.2017;70,3
Bråtå - Slettom;SN15730;12.2017;65,8
Bråtå - Slettom;SN15730;01.2018;56,7
Bråtå - Slettom;SN15730;02.2018;10,3
Bråtå - Slettom;SN15730;03.2018;9,4
Bråtå - Slettom;SN15730;04.2018;26
Bråtå - Slettom;SN15730;05.2018;25,4
Bråtå - Slettom;SN15730;06.2018;41,8
Bråtå - Slettom;SN15730;07.2018;29,9
Bråtå - Slettom;SN15730;08.2018;67,7
Bråtå - Slettom;SN15730;09.2018;120,9
Bråtå - Slettom;SN15730;10.2018;90,9
Bråtå - Slettom;SN15730;11.2018;23,4
Bråtå - Slettom;SN15730;12.2018;20,9
Bråtå - Slettom;SN15730;01.2019;108,2
Bråtå - Slettom;SN15730;02.2019;27,5
Bråtå - Slettom;SN15730;03.2019;65,4
Bråtå - Slettom;SN15730;04.2019;0
Bråtå - Slettom;SN15730;05.2019;21,7
Bråtå - Slettom;SN15730;06.2019;40,2
Bråtå - Slettom;SN15730;07.2019;49,1
Bråtå - Slettom;SN15730;08.2019;64,7
Bråtå - Slettom;SN15730;09.2019;95,4
Bråtå - Slettom;SN15730;10.2019;28,3
Bråtå - Slettom;SN15730;11.2019;23,4
Bråtå - Slettom;SN15730;12.2019;79,2
Bråtå - Slettom;SN15730;01.2020;145
Bråtå - Slettom;SN15730;02.2020;93,3
Bråtå - Slettom;SN15730;03.2020;37,2
Bråtå - Slettom;SN15730;04.2020;38,3
Bråtå - Slettom;SN15730;05.2020;12,4
Bråtå - Slettom;SN15730;06.2020;17,6
Bråtå - Slettom;SN15730;07.2020;27,3
Bråtå - Slettom;SN15730;08.2020;52,9
Bråtå - Slettom;SN15730;09.2020;42,4
Bråtå - Slettom;SN15730;10.2020;34,2
Beito;SN23560;01.2000;25,3
Beito;SN23560;02.2000;27,3
Beito;SN23560;03.2000;34,7
Beito;SN23560;04.2000;92,2
Beito;SN23560;05.2000;49,4
Beito;SN23560;06.2000;96,3
Beito;SN23560;07.2000;100
Beito;SN23560;08.2000;95,1
Beito;SN23560;09.2000;73,2
Beito;SN23560;10.2000;177,7
Beito;SN23560;11.2000;226,3
Beito;SN23560;12.2000;61,5
Beito;SN23560;01.2001;68,6
Beito;SN23560;02.2001;21,5
Beito;SN23560;03.2001;23,7
Beito;SN23560;04.2001;100,7
Beito;SN23560;05.2001;33,9
Beito;SN23560;06.2001;58,2
Beito;SN23560;07.2001;126,8
Beito;SN23560;08.2001;118,7
Beito;SN23560;09.2001;52,7
Beito;SN23560;10.2001;150,6
Beito;SN23560;11.2001;52,9
Beito;SN23560;12.2001;50,5
Beito;SN23560;01.2002;53,2
Beito;SN23560;02.2002;60,7
Beito;SN23560;03.2002;28,9
Beito;SN23560;04.2002;25,9
Beito;SN23560;05.2002;132,9
Beito;SN23560;06.2002;83,8
Beito;SN23560;07.2002;138,9
Beito;SN23560;08.2002;43,3
Beito;SN23560;09.2002;47,5
Beito;SN23560;10.2002;82
Beito;SN23560;11.2002;47,9
Beito;SN23560;12.2002;31,6
Beito;SN23560;01.2003;61,1
Beito;SN23560;02.2003;14,4
Beito;SN23560;03.2003;27,9
Beito;SN23560;04.2003;36,1
Beito;SN23560;05.2003;106
Beito;SN23560;06.2003;76,6
Beito;SN23560;07.2003;89
Beito;SN23560;08.2003;80
Beito;SN23560;09.2003;66,6
Beito;SN23560;10.2003;30,6
Beito;SN23560;11.2003;64,4
Beito;SN23560;12.2003;60,5
Beito;SN23560;01.2004;68,3
Beito;SN23560;02.2004;27,5
Beito;SN23560;03.2004;38,6
Beito;SN23560;04.2004;50,4
Beito;SN23560;05.2004;41,1
Beito;SN23560;06.2004;78,1
Beito;SN23560;07.2004;79,4
Beito;SN23560;08.2004;115,1
Beito;SN23560;09.2004;61,5
Beito;SN23560;10.2004;115,5
Beito;SN23560;11.2004;67,3
Beito;SN23560;12.2004;32,5
Beito;SN23560;01.2005;73,2
Beito;SN23560;02.2005;10,8
Beito;SN23560;03.2005;24,2
Beito;SN23560;04.2005;37,8
Beito;SN23560;05.2005;59,3
Beito;SN23560;06.2005;59,5
Beito;SN23560;07.2005;50,3
Beito;SN23560;08.2005;64,9
Beito;SN23560;09.2005;44,3
Beito;SN23560;10.2005;66,1
Beito;SN23560;11.2005;105,5
Beito;SN23560;12.2005;25,3
Beito;SN23560;01.2006;58,6
Beito;SN23560;02.2006;47,1
Beito;SN23560;03.2006;15,8
Beito;SN23560;04.2006;25,1
Beito;SN23560;05.2006;66,5
Beito;SN23560;06.2006;24,5
Beito;SN23560;07.2006;74,7
Beito;SN23560;08.2006;91,7
Beito;SN23560;09.2006;60,5
Beito;SN23560;10.2006;162
Beito;SN23560;11.2006;116,1
Beito;SN23560;12.2006;106,9
Beito;SN23560;01.2007;111,6
Beito;SN23560;02.2007;39,1
Beito;SN23560;03.2007;65,1
Beito;SN23560;04.2007;19
Beito;SN23560;05.2007;61,2
Beito;SN23560;06.2007;80,9
Beito;SN23560;07.2007;202,8
Beito;SN23560;08.2007;62,5
Beito;SN23560;09.2007;35,9
Beito;SN23560;10.2007;30,1
Beito;SN23560;11.2007;41,9
Beito;SN23560;12.2007;70,6
Beito;SN23560;01.2008;132,7
Beito;SN23560;02.2008;59,4
Beito;SN23560;03.2008;86,8
Beito;SN23560;04.2008;50,8
Beito;SN23560;05.2008;45,2
Beito;SN23560;06.2008;55,7
Beito;SN23560;07.2008;107,3
Beito;SN23560;08.2008;154,5
Beito;SN23560;09.2008;60,7
Beito;SN23560;10.2008;67,1
Beito;SN23560;11.2008;75,6
Beito;SN23560;12.2008;35,9
Beito;SN23560;01.2009;93,1
Beito;SN23560;02.2009;31,5
Beito;SN23560;03.2009;70,9
Beito;SN23560;04.2009;30,2
Beito;SN23560;05.2009;49,9
Beito;SN23560;06.2009;33,3
Beito;SN23560;07.2009;158
Beito;SN23560;08.2009;163,9
Beito;SN23560;09.2009;35,5
Beito;SN23560;10.2009;42,9
Beito;SN23560;11.2009;145,7
Beito;SN23560;12.2009;50,5
Beito;SN23560;01.2010;15,9
Beito;SN23560;02.2010;15,7
Beito;SN23560;03.2010;43,8
Beito;SN23560;04.2010;36
Beito;SN23560;05.2010;31,2
Beito;SN23560;06.2010;62,1
Beito;SN23560;07.2010;93,4
Beito;SN23560;08.2010;142,3
Beito;SN23560;09.2010;57,7
Beito;SN23560;10.2010;128,6
Beito;SN23560;11.2010;18,8
Beito;SN23560;12.2010;9,3
Beito;SN23560;01.2011;60,9
Beito;SN23560;02.2011;32
Beito;SN23560;03.2011;12,5
Beito;SN23560;04.2011;31,3
Beito;SN23560;05.2011;55
Beito;SN23560;06.2011;200,9
Beito;SN23560;07.2011;213
Beito;SN23560;08.2011;211,9
Beito;SN23560;09.2011;133,3
Beito;SN23560;10.2011;53,1
Beito;SN23560;11.2011;49,2
Beito;SN23560;12.2011;80,9
Beito;SN23560;01.2012;71,3
Beito;SN23560;02.2012;17,3
Beito;SN23560;03.2012;11,3
Beito;SN23560;04.2012;100,4
Beito;SN23560;05.2012;35,7
Beito;SN23560;06.2012;95,4
Beito;SN23560;07.2012;126,7
Beito;SN23560;08.2012;122,1
Beito;SN23560;09.2012;37,4
Beito;SN23560;10.2012;77,1
Beito;SN23560;11.2012;118,5
Beito;SN23560;12.2012;59,2
Beito;SN23560;01.2013;28,2
Beito;SN23560;02.2013;12,5
Beito;SN23560;03.2013;2,3
Beito;SN23560;04.2013;19,8
Beito;SN23560;05.2013;187,4
Beito;SN23560;06.2013;149,7
Beito;SN23560;07.2013;37,7
Beito;SN23560;09.2013;120
Beito;SN23560;10.2013;58,1
Beito;SN23560;11.2013;34
Beito;SN23560;12.2013;111,8
Beito;SN23560;01.2014;115,4
Beito;SN23560;02.2014;108,9
Beito;SN23560;03.2014;60,3
Beito;SN23560;05.2014;44,4
Beito;SN23560;06.2014;31,1
Beito;SN23560;07.2014;89,9
Beito;SN23560;09.2014;19,7
Beito;SN23560;10.2014;122,9
Beito;SN23560;11.2014;121,2
Beito;SN23560;12.2014;55,6
Beito;SN23560;01.2015;133,7
Beito;SN23560;02.2015;32,7
Beito;SN23560;03.2015;29,9
Beito;SN23560;05.2015;81
Beito;SN23560;06.2015;31,7
Beito;SN23560;07.2015;112
Beito;SN23560;08.2015;102,2
Beito;SN23560;09.2015;123,4
Beito;SN23560;10.2015;15,5
Beito;SN23560;11.2015;62,4
Beito;SN23560;12.2015;80,6
Beito;SN23560;01.2016;49,5
Beito;SN23560;02.2016;76,1
Beito;SN23560;03.2016;28
Beito;SN23560;04.2016;30,5
Beito;SN23560;05.2016;56,1
Beito;SN23560;06.2016;85,8
Beito;SN23560;07.2016;92,1
Beito;SN23560;08.2016;109,9
Beito;SN23560;09.2016;63,8
Beito;SN23560;10.2016;21,4
Beito;SN23560;11.2016;77,3
Beito;SN23560;12.2016;34,6
Beito;SN23560;01.2017;25,8
